"Ticker";"Nome";"Setor";"Adm";"Cotacao";"MM200Delta";"Vol";"DY12m";"P_VP";"VALOR_EM_CAIXA";"PB_Anos"
"NEWU11";"Newport Renda Urbana";"Lajes Corporativas";"PLURAL S.A.";38,93;87,8209283571185;0,00069779545;0,28;0,61;3,59;357,1
"AFCR11";"AF Invest Recebíveis Imobiliários";"Papeis";"CM CAPITAL";118,95;NA;0,00439366094240838;7,72;1,16;22,5;13
"OULG11";"Ourinvest Logística";"Imoveis Industriais E Logisticos";"BANCO OURINVEST";71,1;84,496547187035;0,021804687;10,22;0,75;5,83;9,8
"BLMO11";"Bluemacaw Office Fund II";"Lajes Corporativas";"BRL TRUST";26662,53;NA;0,02666253;0;1,03;11,05;Inf
"TORD11";"TORDESILHAS EI";"Indefinido";"VORTX DISTRIBUIDORA";11,55;120,781493521722;0,0155587557;10,4;1,11;0,17;9,6
"MGHT11";"Mogno Hoteis";"Hoteis";"BTG PACTUAL";99,99;NA;0,00101207466666667;6,64;1;0,93;15,1
"RBRL11";"RBR LOG";"Imoveis Industriais E Logisticos";"BRL TRUST";107,69;NA;0,0453380276020408;7,26;1,01;7,65;13,8
"LASC11";"Legatus Shoppings";"Shoppings";"VORTX DISTRIBUIDORA";96;NA;0,00110431132911392;3,82;0,93;16,34;26,2
"MORE11";"More Real Estate FOF";"Shoppings";"BTG PACTUAL";98,5;NA;0,0030321562244898;8,23;0,98;38,19;12,2
"TEPP11";"Tellus Properties";"Lajes Corporativas";"BRL TRUST";81,6;94,2337443744744;0,036375668;7,28;0,86;4,48;13,7
"HBRH11";"Multi Renda Urbana";"Lajes Corporativas";"BRL TRUST";100,7;105,082217276118;0,00882859895;8,06;0,92;0,73;12,4
"BLCP11";"Bluecap Renda Logística";"Imoveis Industriais E Logisticos";"BTG PACTUAL";102;NA;0,000828702164179104;4,08;0,99;5,91;24,5
"FATN11";"ATHENA I";"Lajes Corporativas";"BR-CAPITAL DTVM";102,49;NA;0,00122428482758621;3,53;1,02;0,54;28,3
"VIFI11";"Vinci Instrumentos Financeiros";"Fundo De Fundos";"BRL TRUST";89,53;NA;0,0288615292746114;6,36;0,88;4,68;15,7
"RCFF11";"RBR Desenvolvimento Comercial Feeder FOF";"Fundo De Fundos";"BRL TRUST";98,89;NA;0,00144935227272727;5,09;1;24,57;19,6
"CPTS11";"Capitânia Securities II";"Papeis";"BTG PACTUAL";100,2;NA;0,347301513798883;9,84;1,05;5,97;10,2
"VSEC11";"Votorantim Securities";"Papeis";"VOTORANTIM ASSET";93;NA;0,00429717172932331;3,92;0,95;3,76;25,5
"MFAI11";"Mérito Fundos e Ações Imobiliárias";"Gas";"PLANNER TRUSTEE";96,79;NA;0,0115489074712644;28,39;1,01;17,59;3,5
"BRIM11";"Brio Real Estate II";"Fundo De Desenvolvimento";"BRL TRUST";910;NA;0,0091;0;0,92;6,24;Inf
"ARCT11";"Riza Arctium Real Estate";"Imoveis Industriais E Logisticos";"BTG PACTUAL";117,79;NA;0,016871072962963;19,96;1,14;55,34;5
